,title,directors,actors,genres
24,Jeans,['S. Shankar'],"['Prashanth', ' Aishwarya Rai Bachchan', ' Sri Lakshmi', ' Nassar']","['Comedies', ' International Movies', ' Romantic Movies']"
26,Minsara Kanavu,['Rajiv Menon'],"['Arvind Swamy', ' Kajol', ' Prabhu Deva', ' Nassar', ' S.P. Balasubrahmanyam', ' Girish Karnad']","['Comedies', ' International Movies', ' Music & Musicals']"
27,Grown Ups,['Dennis Dugan'],"['Adam Sandler', ' Kevin James', ' Chris Rock', ' David Spade', ' Rob Schneider', ' Salma Hayek', ' Maria Bello', ' Maya Rudolph', ' Colin Quinn', ' Tim Meadows', ' Joyce Van Patten']",['Comedies']
28,Dark Skies,['Scott Stewart'],"['Keri Russell', ' Josh Hamilton', ' J.K. Simmons', ' Dakota Goyo', ' Kadan Rockett', ' L.J. Benet', ' Rich Hutchman', ' Myndy Crist', ' Annie Thurman', ' Jake Brennan']","['Horror Movies', ' Sci-Fi & Fantasy']"
29,Paranoia,['Robert Luketic'],"['Liam Hemsworth', ' Gary Oldman', ' Amber Heard', ' Harrison Ford', ' Lucas Till', ' Embeth Davidtz', ' Julian McMahon', ' Josh Holloway', ' Richard Dreyfuss', ' Angela Sarafyan']",['Thrillers']
30,Ankahi Kahaniya,"['Ashwiny Iyer Tiwari', ' Abhishek Chaubey', ' Saket Chaudhary']","['Abhishek Banerjee', ' Rinku Rajguru', ' Delzad Hiwale', ' Kunal Kapoor', ' Zoya Hussain', ' Nikhil Dwivedi', ' Palomi Ghosh']","['Dramas', ' Independent Movies', ' International Movies']"
35,The Father Who Moves Mountains,['Daniel Sandu'],"['Adrian Titieni', ' Elena Purea', ' Judith State', ' Valeriu Andriuță', ' Tudor Smoleanu', ' Virgil Aioanei', ' Radu Botar', ' Petronela Grigorescu', ' Bogdan Nechifor', ' Cristian Bota']","['Dramas', ' International Movies', ' Thrillers']"
36,The Stronghold,['Cédric Jimenez'],"['Gilles Lellouche', ' Karim Leklou', ' François Civil', ' Adèle Exarchopoulos', ' Kenza Fortas', ' Cyril Lecomte', ' Michaël Abiteboul', ' Idir Azougli', ' Vincent Darmuzey', ' Jean-Yves Berteloot']","['Action & Adventure', ' Dramas', ' International Movies']"
38,Birth of the Dragon,['George Nolfi'],"['Billy Magnussen', ' Ron Yuan', ' Qu Jingjing', ' Terry Chen', ' Vanness Wu', ' Jin Xing', ' Philip Ng', ' Xia Yu', ' Yu Xia']","['Action & Adventure', ' Dramas']"
41,Jaws,['Steven Spielberg'],"['Roy Scheider', ' Robert Shaw', ' Richard Dreyfuss', ' Lorraine Gary', ' Murray Hamilton', ' Carl Gottlieb', ' Jeffrey Kramer', ' Susan Backlinie', ' Jonathan Filley', ' Ted Grossman']","['Action & Adventure', ' Classic Movies', ' Dramas']"
42,Jaws 2,['Jeannot Szwarc'],"['Roy Scheider', ' Lorraine Gary', ' Murray Hamilton', ' Joseph Mascolo', ' Jeffrey Kramer', ' Collin Wilcox Paxton', ' Ann Dusenberry', ' Mark Gruner', ' Barry Coe', ' Susan French']","['Dramas', ' Horror Movies', ' Thrillers']"
43,Jaws 3,['Joe Alves'],"['Dennis Quaid', ' Bess Armstrong', ' Simon MacCorkindale', ' Louis Gossett Jr.', ' John Putch', ' Lea Thompson', ' P.H. Moriarty', ' Dan Blasko', ' Liz Morris', ' Lisa Maurer']","['Action & Adventure', ' Horror Movies', ' Thrillers']"
44,Jaws: The Revenge,['Joseph Sargent'],"['Lorraine Gary', ' Lance Guest', ' Mario Van Peebles', ' Karen Young', ' Michael Caine', ' Judith Barsi', ' Mitchell Anderson', ' Lynn Whitfield']","['Action & Adventure', ' Horror Movies', ' Thrillers']"
45,My Heroes Were Cowboys,['Tyler Greco'],,['Documentaries']
46,Safe House,['Daniel Espinosa'],"['Denzel Washington', ' Ryan Reynolds', ' Vera Farmiga', ' Brendan Gleeson', ' Sam Shepard', ' Rubén Blades', ' Nora Arnezeder', ' Robert Patrick', ' Liam Cunningham', ' Joel Kinnaman']",['Action & Adventure']
48,Training Day,['Antoine Fuqua'],"['Denzel Washington', ' Ethan Hawke', ' Scott Glenn', ' Tom Berenger', ' Harris Yulin', ' Raymond J. Barry', ' Cliff Curtis', ' Dr. Dre', ' Snoop Dogg', ' Macy Gray', ' Eva Mendes']","['Dramas', ' Thrillers']"
51,InuYasha the Movie 2: The Castle Beyond the Looking Glass,['Toshiya Shinohara'],"['Kappei Yamaguchi', ' Satsuki Yukino', ' Mieko Harada', ' Koji Tsujitani', ' Houko Kuwashima', ' Kumiko Watanabe', ' Noriko Hidaka', ' Kenichi Ogata', ' Toshiyuki Morikawa', ' Izumi Ogami']","['Action & Adventure', ' Anime Features', ' International Movies']"
52,InuYasha the Movie 3: Swords of an Honorable Ruler,['Toshiya Shinohara'],"['Kappei Yamaguchi', ' Satsuki Yukino', ' Koji Tsujitani', ' Houko Kuwashima', ' Kumiko Watanabe', ' Ken Narita', ' Akio Otsuka', ' Kikuko Inoue']","['Action & Adventure', ' Anime Features', ' International Movies']"
53,InuYasha the Movie 4: Fire on the Mystic Island,['Toshiya Shinohara'],"['Kappei Yamaguchi', ' Satsuki Yukino', ' Koji Tsujitani', ' Houko Kuwashima', ' Kumiko Watanabe', ' Noriko Hidaka', ' Ken Narita', ' Cho', ' Mamiko Noto', ' Nobutoshi Canna']","['Action & Adventure', ' Anime Features', ' International Movies']"
54,InuYasha the Movie: Affections Touching Across Time,['Toshiya Shinohara'],"['Kappei Yamaguchi', ' Satsuki Yukino', ' Koji Tsujitani', ' Houko Kuwashima', ' Kumiko Watanabe', ' Kenichi Ogata', ' Noriko Hidaka', ' Hisako Kyoda', ' Ken Narita', ' Tomokazu Seki']","['Action & Adventure', ' Anime Features', ' International Movies']"
56,Naruto Shippuden the Movie: Blood Prison,['Masahiko Murata'],"['Junko Takeuchi', ' Chie Nakamura', ' Rikiya Koyama', ' Kazuhiko Inoue', ' Masaki Terasoma', ' Mie Sonozaki', ' Yuichi Nakamura', ' Kengo Kawanishi', ' Kosei Hirota', ' Masako Katsuki']","['Action & Adventure', ' Anime Features', ' International Movies']"
57,Naruto Shippûden the Movie: Bonds,['Hajime Kamegaki'],"['Junko Takeuchi', ' Chie Nakamura', ' Noriaki Sugiyama', ' Unsho Ishizuka', ' Motoko Kumai', ' Kazuhiko Inoue', ' Rikiya Koyama', ' Showtaro Morikubo', ' Nana Mizuki', ' Satoshi Hino', ' Shinji Kawada']","['Action & Adventure', ' Anime Features', ' International Movies']"
58,Naruto Shippûden the Movie: The Will of Fire,['Masahiko Murata'],"['Junko Takeuchi', ' Chie Nakamura', ' Kazuhiko Inoue', ' Satoshi Hino', ' Showtaro Morikubo', ' Kentaro Ito', ' Ryoka Yuzuki', ' Kohsuke Toriumi', ' Nana Mizuki', ' Shinji Kawada', ' Yoichi Masukawa', ' Koichi Tochika', ' Yukari Tamura']","['Action & Adventure', ' Anime Features', ' International Movies']"
59,Naruto Shippuden: The Movie,['Hajime Kamegaki'],"['Junko Takeuchi', ' Chie Nakamura', ' Yoichi Masukawa', ' Koichi Tochika', ' Ayumi Fujimura', ' Keisuke Oda', ' Daisuke Kishio', ' Fumiko Orikasa', ' Hidetoshi Nakamura', ' Tetsuya Kakihara', ' Kisho Taniyama', ' Miyuki Sawashiro', ' Katsuyuki Konishi', ' Masako Katsuki', ' Keiko Nemoto', ' Masashi Ebara', ' Kazuhiko Inoue', ' Showtaro Morikubo', ' Romi Park', ' Daisuke Ono', ' Seizo Kato']","['Action & Adventure', ' Anime Features', ' International Movies']"
60,Naruto Shippuden: The Movie: The Lost Tower,['Masahiko Murata'],"['Junko Takeuchi', ' Chie Nakamura', ' Satoshi Hino', ' Rikiya Koyama', ' Nobuaki Fukuda', ' Kenji Hamada', ' Keiko Nemoto', ' Saori Hayami', ' Yumi Toma', ' Yuko Kobayashi', ' Fujiko Takimoto', ' Mutsumi Tamura', ' Mayuki Makiguchi', ' Toshiyuki Morikawa']","['Action & Adventure', ' Anime Features', ' International Movies']"
61,Naruto the Movie 2: Legend of the Stone of Gelel,['Hirotsugu Kawasaki'],"['Junko Takeuchi', ' Gamon Kaai', ' Chie Nakamura', ' Showtaro Morikubo', ' Akira Ishida', ' Yasuyuki Kase', ' Urara Takano', ' Sachiko Kojima', ' Houko Kuwashima', ' Takako Honda']","['Action & Adventure', ' Anime Features', ' International Movies']"
62,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,['Toshiyuki Tsuru'],"['Junko Takeuchi', ' Chie Nakamura', ' Yoichi Masukawa', ' Kazuhiko Inoue', ' Akio Otsuka', ' Kyousuke Ikeda', ' Marika Hayashi', ' Umeji Sasaki', ' Masashi Sugawara', ' Hisao Egawa']","['Action & Adventure', ' Anime Features', ' International Movies']"
63,Naruto the Movie: Ninja Clash in the Land of Snow,['Tensai Okamura'],"['Junko Takeuchi', ' Noriaki Sugiyama', ' Chie Nakamura', ' Kazuhiko Inoue', ' Yuhko Kaida', ' Tsutomu Isobe', ' Hirotaka Suzuoki', ' Jun Karasawa', ' Harii Kaneko', ' Ikuo Nishikawa']","['Action & Adventure', ' Anime Features', ' International Movies']"
64,Nightbooks,['David Yarovesky'],"['Winslow Fegley', ' Lidya Jewett', ' Krysten Ritter']",['Children & Family Movies']
68,Schumacher,"['Hanns-Bruno Kammertöns', ' Vanessa Nöcker', ' Michael Wech']",['Michael Schumacher'],"['Documentaries', ' International Movies', ' Sports Movies']"
71,A StoryBots Space Adventure,['David A. Vargas'],"['Evan Spiridellis', ' Erin Fitzgerald', ' Jeff Gill', ' Fred Tatasciore', ' Evan Michael Lee', ' Jared Isaacman', ' Sian Proctor', ' Chris Sembroski', ' Hayley Arceneaux']",['Children & Family Movies']
73,King of Boys,['Kemi Adetiba'],"['Sola Sobowale', ' Adesua Etomi', ' Remilekun ""Reminisce"" Safaru', ' Tobechukwu ""iLLbliss"" Ejiofor', ' Toni Tones', ' Paul Sambo', ' Jide Kosoko', ' Sharon Ooja']","['Dramas', ' International Movies']"
75,You vs. Wild: Out Cold,['Ben Simms'],"['Bear Grylls', ' Jason Derek Prempeh']",['Children & Family Movies']
77,Little Singham - Black Shadow,['Prakash Satam'],"['Sumriddhi Shukla', ' Jigna Bharadwaj', ' Sonal Kaushal', ' Neshma Chemburkar', ' Ganesh Divekar', ' Annamaya Verma', ' Anamay Verma', ' Manoj Pandey']","['Children & Family Movies', ' Comedies']"
78,Tughlaq Durbar,['Delhiprasad Deenadayalan'],"['Vijay Sethupathi', ' Parthiban', ' Raashi Khanna']","['Comedies', ' Dramas', ' International Movies']"
79,Tughlaq Durbar (Telugu),['Delhiprasad Deenadayalan'],"['Vijay Sethupathi', ' Parthiban', ' Raashi Khanna']","['Comedies', ' Dramas', ' International Movies']"
80,Firedrake the Silver Dragon,['Tomer Eshed'],"['Thomas Brodie-Sangster', ' Felicity Jones', ' Freddie Highmore', ' Patrick Stewart', ' Meera Syal', ' Sanjeev Bhaskar', ' Nonso Anozie']",['Children & Family Movies']
81,Kate,['Cedric Nicolas-Troyan'],"['Mary Elizabeth Winstead', ' Jun Kunimura', ' Woody Harrelson', ' Tadanobu Asano', ' Miyavi', ' Michiel Huisman', ' Miku Martineau']",['Action & Adventure']
84,Omo Ghetto: the Saga,"['JJC Skillz', ' Funke Akindele']","['Funke Akindele', ' Ayo Makun', ' Chioma Chukwuka Akpotha', ' Yemi Eberechi Alade', ' Blossom Chukwujekwu', ' Deyemi Okanlawon', ' Alexx Ekubo', ' Zubby Michael', ' Tina Mba', ' Femi Jacobs']","['Action & Adventure', ' Comedies', ' Dramas']"
86,Prey,['Thomas Sieben'],"['David Kross', ' Hanno Koffler', ' Maria Ehrich', ' Robert Finster', ' Yung Ngo', ' Klaus Steinbacher', ' Livia Matthes', ' Nellie Thalbach']","['International Movies', ' Thrillers']"
88,Blood Brothers: Malcolm X & Muhammad Ali,['Marcus Clarke'],"['Malcolm X', ' Muhammad Ali']","['Documentaries', ' Sports Movies']"
90,Paradise Hills,['Alice Waddington'],"['Emma Roberts', ' Danielle Macdonald', ' Awkwafina', ' Eiza González', ' Milla Jovovich', ' Jeremy Irvine', ' Arnaud Valois', ' Daniel Horvath']","['Sci-Fi & Fantasy', ' Thrillers']"
91,The Women and the Murderer,"['Mona Achache', ' Patricia Tourancheau']",,"['Documentaries', ' International Movies']"
93,JJ+E,['Alexis Almström'],"['Elsa Öhrn', ' Mustapha Aarab', ' Jonay Pineda Skallak', ' Magnus Krepper', ' Loreen', ' Albin Grenholm', ' Simon Mezher', ' Elsa Bergström Terent', ' Josef Kadim', ' Yohannes Frezgi']","['Dramas', ' International Movies', ' Romantic Movies']"
94,Show Dogs,['Raja Gosnell'],"['Will Arnett', ' Ludacris', ' Natasha Lyonne', ' Stanley Tucci', ' Jordin Sparks', ' Gabriel Iglesias', "" Shaquille O'Neal"", ' Omar Chaparro', ' Alan Cumming', ' Andy Beckwith', ' Delia Sheppard', ' Kerry Shale']","['Children & Family Movies', ' Comedies']"
96,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,['Stephen Kijak'],"['Ronnie Van Zandt', ' Gary Rossington', ' Allen Collins', ' Leon Wilkeson', ' Bob Burns', ' Billy Powell', ' Ed King', ' Artimus Pyle', ' Steve Gaines', ' Johnny Van Zant']","['Documentaries', ' Music & Musicals']"
101,Untold: Breaking Point,"['Chapman Way', ' Maclain Way']",,"['Documentaries', ' Sports Movies']"
103,Shadow Parties,['Yemi Amodu'],"['Jide Kosoko', ' Omotola Jalade-Ekeinde', ' Yemi Blaq', ' Sola Sobowale', ' Ken Erics', ' Toyin Aimakhu', ' Segun Arinze', ' Jibola Dabo', ' Rotimi Salami', ' Pa Jimi Solanke', ' Rachael Okonkwo', ' Bassey Okon', ' Lucien Morgan', ' Magdalena Korpas']","['Dramas', ' International Movies', ' Thrillers']"
105,Angamaly Diaries,['Lijo Jose Pellissery'],"['Antony Varghese', ' Reshma Rajan', ' Binny Rinky Benjamin', ' Vineeth Vishwam', ' Kichu Tellus', ' Sreekanth Dasan', ' Sarath Kumar', ' Tito Wilson', ' Anandhu', ' Bitto Davis', ' Sinoj Varghese']","['Action & Adventure', ' Comedies', ' Dramas']"
107,A Champion Heart,['David de Vos'],"['Mandy Grace', ' David de Vos', ' Donna Rusch', ' Devan Key', ' Isabella Mancuso', ' Ariana Guido']","['Children & Family Movies', ' Dramas']"
112,Worth,['Sara Colangelo'],"['Michael Keaton', ' Stanley Tucci', ' Amy Ryan', ' Shunori Ramanathan', ' Ato Blankson-Wood', ' Tate Donovan', ' Laura Benanti', ' Chris Tardio']",['Dramas']
113,Afterlife of the Party,['Stephen Herek'],"['Victoria Justice', ' Midori Francis', ' Robyn Scott', ' Adam Garcia', ' Timothy Renouf', ' Gloria Garcia', ' Myfanwy Waring', ' Spencer Sutherland']","['Comedies', ' Romantic Movies']"
114,Anjaam,['Rahul Rawail'],"['Madhuri Dixit', ' Shah Rukh Khan', ' Tinnu Anand', ' Johny Lever', ' Kalpana Iyer', ' Himani Shivpuri', ' Sudha Chandran', ' Beena', ' Kiran Kumar']","['Dramas', ' International Movies', ' Thrillers']"
115,Bright Star,['Jane Campion'],"['Abbie Cornish', ' Ben Whishaw', ' Paul Schneider', ' Kerry Fox', ' Edie Martin', ' Thomas Brodie-Sangster', ' Claudie Blakley', ' Gerard Monaco', ' Antonia Campbell-Hughes', ' Samuel Roukin']","['Dramas', ' Romantic Movies']"
116,Dhanak,['Nagesh Kukunoor'],"['Krrish Chhabria', ' Hetal Gada', ' Vipin Sharma', ' Gulfam Khan', ' Suresh Menon', ' Vijay Maurya', ' Rajiv Lakshman', ' Ninad Kamat']","['Comedies', ' Dramas', ' Independent Movies']"
117,Final Account,['Luke Holland'],,['Documentaries']
118,Gurgaon,['Shanker Raman'],"['Akshay Oberoi', ' Pankaj Tripathi', ' Ragini Khanna', ' Aamir Bashir', ' Shalini Vatsa', ' Ashish Verma']","['Dramas', ' International Movies', ' Thrillers']"
119,Here and There,['JP Habac'],"['Janine Gutierrez', ' JC Santos', ' Victor Anastacio', ' Yesh Burce', ' Lotlot De Leon']","['Dramas', ' International Movies', ' Romantic Movies']"
122,In the Cut,['Jane Campion'],"['Meg Ryan', ' Mark Ruffalo', ' Jennifer Jason Leigh', ' Nick Damici', ' Sharrieff Pugh', ' Kevin Bacon', ' Yaani King Mondschein', ' Heather Litteer']",['Thrillers']
126,Shikara,['Vidhu Vinod Chopra'],"['Aadil Khan', ' Sadia Khateeb', ' Zain Khan Durrani', ' Priyanshu Chatterjee', ' Bhavna Chauhan', ' Ashwin Dhar', ' Farid Azad Khan', ' Saghar Sehrai']","['Dramas', ' International Movies', ' Romantic Movies']"
127,A Cinderella Story,['Mark Rosman'],"['Hilary Duff', ' Chad Michael Murray', ' Jennifer Coolidge', ' Dan Byrd', ' Regina King', ' Julie Gonzalo', ' Lin Shaye', ' Madeline Zima', ' Andrea Avery', ' Mary Pat Gleason', ' Paul Rodriguez', ' Whip Hubley', ' Kevin Kilner', ' Erica Hubbard', ' Simon Helberg']","['Children & Family Movies', ' Comedies']"
128,Agatha Christie's Crooked House,['Gilles Paquet-Brenner'],"['Glenn Close', ' Terence Stamp', ' Max Irons', ' Gillian Anderson', ' Christina Hendricks', ' Stefanie Martini', ' Julian Sands', ' Honor Kneafsey', ' Christian McKay', ' Amanda Abbington']","['Dramas', ' International Movies', ' Thrillers']"
129,An Unfinished Life,['Lasse Hallström'],"['Robert Redford', ' Jennifer Lopez', ' Morgan Freeman', ' Josh Lucas', ' Damian Lewis', ' Camryn Manheim', ' Becca Gardner', ' Lynda Boyd', ' Rob Hayter', ' P. Lynn Johnson']",['Dramas']
130,Barbie Big City Big Dreams,['Scott Pleydell-Pearce'],"['America Young', ' Amber May', ' Giselle Fernandez', ' Alejandro Saab', ' Dinora Walcott']","['Children & Family Movies', ' Music & Musicals']"
131,Blade Runner: The Final Cut,['Ridley Scott'],"['Harrison Ford', ' Rutger Hauer', ' Sean Young', ' Edward James Olmos', ' M. Emmet Walsh', ' Daryl Hannah', ' William Sanderson', ' Brion James', ' Joe Turkel', ' Joanna Cassidy', ' James Hong', ' Morgan Paull']","['Action & Adventure', ' Classic Movies', ' Cult Movies']"
133,Chappie,['Neill Blomkamp'],"['Sharlto Copley', ' Hugh Jackman', ' Sigourney Weaver', ' Dev Patel', ' Ninja', ' Yo-Landi Visser', ' Jose Pablo Cantillo', ' Brandon Auret', ' Johnny Selema', ' Maurice Carpede']","['Action & Adventure', ' Sci-Fi & Fantasy']"
134,Clear and Present Danger,['Phillip Noyce'],"['Harrison Ford', ' Willem Dafoe', ' Anne Archer', ' Joaquim de Almeida', ' Henry Czerny', ' Harris Yulin', ' Donald Moffat', ' Miguel Sandoval', ' Benjamin Bratt', ' Dean Jones', ' Thora Birch', ' James Earl Jones', ' Raymond Cruz']","['Action & Adventure', ' Dramas']"
135,Cliffhanger,['Renny Harlin'],"['Sylvester Stallone', ' John Lithgow', ' Michael Rooker', ' Janine Turner', ' Rex Linn', ' Caroline Goodall', ' Leon', ' Craig Fairbrass', ' Ralph Waite', ' Max Perlich', ' Paul Winfield']",['Action & Adventure']
136,Cold Mountain,['Anthony Minghella'],"['Jude Law', ' Nicole Kidman', ' Renée Zellweger', ' Eileen Atkins', ' Brendan Gleeson', ' Philip Seymour Hoffman', ' Natalie Portman', ' Giovanni Ribisi', ' Donald Sutherland', ' Ray Winstone']","['Dramas', ' Romantic Movies']"
137,Crocodile Dundee in Los Angeles,['Simon Wincer'],"['Paul Hogan', ' Linda Kozlowski', ' Jere Burns', ' Jonathan Banks', ' Aida Turturro', ' Alec Wilson', ' Gerry Skilton', ' Steve Rackman', ' Serge Cockburn', ' Paul Rodriguez', ' Mark Adair-Rios', ' Tiriel Mora', ' Grant Piro', ' Mike Tyson']","['Action & Adventure', ' Comedies']"
138,Dear John,['Lasse Hallström'],"['Channing Tatum', ' Amanda Seyfried', ' Richard Jenkins', ' Henry Thomas', ' D.J. Cotrona', ' Cullen Moss', ' Gavin McCulley', ' Jose Lucena Jr.', ' Keith Robinson', ' Scott Porter']","['Dramas', ' Romantic Movies']"
139,Do the Right Thing,['Spike Lee'],"['Danny Aiello', ' Ossie Davis', ' Ruby Dee', ' Richard Edson', ' Giancarlo Esposito', ' Spike Lee', ' Bill Nunn', ' John Turturro', ' Paul Benjamin', ' Frankie Faison', ' Samuel L. Jackson', ' Rosie Perez', ' Martin Lawrence', ' Miguel Sandoval']","['Classic Movies', ' Comedies', ' Dramas']"
140,"El patrón, radiografía de un crimen",['Sebastián Schindel'],"['Joaquín Furriel', ' Luis Ziembrowski', ' Guillermo Pfening', ' Mónica Lairana', ' Germán de Silva', ' Victoria Raposo', ' Andrea Garrote']","['Dramas', ' International Movies', ' Thrillers']"
141,Extraction,['Steven C. Miller'],"['Bruce Willis', ' Kellan Lutz', ' Gina Carano', ' D.B. Sweeney', ' Joshua Mikel', ' Steve Coulter', ' Dan Bilzerian', ' Heather Johansen']",['Action & Adventure']
142,Freedom Writers,['Richard LaGravenese'],"['Hilary Swank', ' Patrick Dempsey', ' Scott Glenn', ' Imelda Staunton', ' April L. Hernandez', ' Mario', ' Kristin Herrera', ' Jaclyn Ngan', ' Sergio Montalvo', ' Jason Finn', ' Deance Wyatt', ' Vanetta Smith']",['Dramas']
143,Green Lantern,['Martin Campbell'],"['Ryan Reynolds', ' Blake Lively', ' Peter Sarsgaard', ' Mark Strong', ' Tim Robbins', ' Jay O. Sanders', ' Taika Waititi', ' Angela Bassett']","['Action & Adventure', ' Sci-Fi & Fantasy']"
144,House Party,['Reginald Hudlin'],"['Christopher Reid', ' Christopher Martin', ' Robin Harris', ' Tisha Campbell', ' A.J. Johnson', ' Martin Lawrence', ' Paul Anthony', ' Bowlegged Lou', ' B-Fine', ' Edith Fields', ' Kelly Jo Minter', ' Clifton Powell', ' Verda Bridges']","['Comedies', ' Cult Movies']"
145,House Party 2,"['George Jackson', ' Doug McHenry']","['Christopher Reid', ' Christopher Martin', ' Martin Lawrence', ' Bowlegged Lou', ' Paul Anthony', ' B-Fine', ' Tisha Campbell', ' Kamron', ' Iman', ' Queen Latifah']","['Comedies', ' Cult Movies', ' Music & Musicals']"
146,House Party 3,['Eric Meza'],"['Christopher Reid', ' Christopher Martin', ' Tisha Campbell', ' David Edwards', ' Angela Means', ' Ketty Lester', ' Bernie Mac', ' Michael Colyar', ' Chris Tucker', ' Khandi Alexander']","['Comedies', ' Music & Musicals']"
149,I Got the Hook Up,['Michael Martin'],"['Master P', ' Anthony Johnson', ' Gretchen Palmer', ' Frantz Turner', ' Richard Keats', ' Joe Estevez', ' William Knight', ' Anthony Boswell', "" Tommy 'Tiny' Lister"", ' Helen Martin', ' John Witherspoon', ' Mia X']","['Action & Adventure', ' Comedies']"
150,In Too Deep,['Michael Rymer'],"['Omar Epps', ' LL Cool J', ' Nia Long', ' Stanley Tucci', ' Pam Grier', ' Hill Harper', ' Jake Weber', ' David Patrick Kelly', ' Veronica Webb', ' Ron Canada', ' Robert LaSardo', ' Gano Grills', ' Ivonne Coll', ' Don Harvey', ' Mya', "" Nasir 'Nas' Jones"", ' Jermaine Dupri']",['Thrillers']
151,Initial D,"['Andrew Lau Wai-keung', ' Alan Mak']","['Jay Chou', ' Anne Suzuki', ' Edison Chen', ' Anthony Wong Chau-sang', ' Shawn Yue', ' Chapman To', ' Jordan Chan', ' Kenny Bee']","['Action & Adventure', ' International Movies']"
152,Janoskians: Untold and Untrue,['Brett Weiner'],"['Jai Brooks', ' Luke Brooks', ' James Yammouni', ' Daniel Sahyounie', ' Beau Brooks']",['Comedies']
155,Labyrinth,['Jim Henson'],"['David Bowie', ' Jennifer Connelly', ' Frank Oz', ' Kevin Clash', ' Anthony Asbury', ' Dave Goelz', ' Brian Henson', ' Ron Mueck', ' Karen Prell', ' Shari Weiser']","['Action & Adventure', ' Children & Family Movies', ' Cult Movies']"
156,Letters to Juliet,['Gary Winick'],"['Amanda Seyfried', ' Christopher Egan', ' Gael García Bernal', ' Vanessa Redgrave', ' Franco Nero', ' Luisa Ranieri', ' Marina Massironi', ' Milena Vukotic', ' Marcia DeBonis', ' Luisa De Santis', ' Lidia Biondi', ' Giordano Formenti', ' Chris Egan']","['Comedies', ' Dramas', ' Romantic Movies']"
157,Level 16,['Danishka Esterhazy'],"['Katie Douglas', ' Celina Martin', ' Peter Outerbridge', ' Sara Canning', ' Alexis Whelan', ' Amalia Williamson', ' Josette Halpert', ' Kiana Madeira']","['Sci-Fi & Fantasy', ' Thrillers']"
158,Love Don't Cost a Thing,['Troy Byer'],"['Nick Cannon', ' Christina Milian', ' Kenan Thompson', ' Kal Penn', ' Steve Harvey', ' Al Thompson', ' Ashley Monique Clark', ' Elimu Nelson', ' Nichole Robinson', ' Melissa Schuman']","['Comedies', ' Romantic Movies']"
159,Love in a Puff,['Pang Ho-cheung'],"['Miriam Chin Wah Yeung', ' Shawn Yue', ' Singh Hartihan Bitto', ' Isabel Chan', ' Cheung Tat-ming', ' Matt Chow', ' Chui Tien-you', ' Queenie Chu', ' Charmaine Fong', ' Vincent Kok']","['Comedies', ' Dramas', ' International Movies']"
